id,name,level,difficulty,tags
11194,Wolves Standing Towards Enemies,AT Lv.16,16.500002,楼梯+32分+变速+耐力+位移
11199,春泥棒,IN 14,14.3,纵连+叠键
11205,Symphony Op.1 -CHAOS-,CHAOS Lv.?,15.9,楼梯+32分+耐力+纵连+位移
11213,がんばれ! 蜘蛛子さんのテーマ,AT Lv.16,16.400002,底力+多押+耐力+位移
11222,DEADMAN'S BALLAD,IN Lv.15,15.900003,多押+变速+耐力+纵连+位移
11243,The Nightfall will be Conceal Everything Before Long,IN Lv.15,15.700001,楼梯+纵连
1125,story（《异世界舅舅》op）,IN Lv.13,13.0,32分+高BPM
11268,樱花邮局,IN Lv.14,14.3,-
11286,なかよし!〇!なかよし!,IN Lv.12,12.700003,-
11287,Our New Story,AT Lv.16,16.0,底力+爆发+纵连+位移
11304,Imprinting,IN Lv.15,15.600002,底力+32分+位移
11320,ouroVoros,IN Lv.15,15.700003,底力+楼梯+爆发+叠键
11324,Forever,AT Lv.14,14.400002,多押+32分+位移
11334,Time Leaper,IN  Lv.15,15.0,楼梯
11354,万花筒,lN Lv.15,15.900003,耐力
11356,月夜見,Legacy Lv.14,14.599998,多押+楼梯+32分+定轨
11366,Le Porteur d'Ombre,AT Lv.16+,16.500002,底力+多押+楼梯+32分+变速+耐力+高BPM+位移
11375,PRINCE OF DARKNESS,IN Lv.13,13.1,32分
11387,让风告诉你,IN Lv.12,12.0,-
1139,Nyarlathotep's Dreamland,AT Lv.16,16.800003,底力+爆发+变速+耐力+位移
11416,生きる,IN Lv.14,14.799999,32分
11435,運命線上のアリア,IN Lv.15,15.3,-
11442,Reality Distortion,AT Lv.16,16.6,底力+耐力
11483,巴啦啦小魔仙,IN  Lv.13,13.0,-
11502,De Kieru,AT Lv.16,16.2,多押+32分+变速+耐力+位移
11515,IN,1N Lv.15,15.0,-
11517,Le Porteur d'Ombre,AT Lv.17,17.0,底力+多押+32分+变速+耐力+高BPM+位移
11526,'All-Devouring Narwahl' Boss Theme II,IN LV.15,15.200001,爆发+定轨
11543,Bookmaker（2D Version）,AT Lv.16,16.700003,底力+多押+楼梯+爆发+变速+耐力+位移
11548,とびだせ！TO THE COSMIC!!,IN Lv.14,14.900003,楼梯+32分
11557,超度 -Go Beyond-,AT Lv.16,16.0,多押+32分+变速+耐力+高BPM+位移
11562,Stellar:Dream,IN Lv.15,15.8,多押+纵连
11570,★Hello (BPM) 2021,IN Lv. 16,16.3,底力+多押+楼梯+变速+耐力+高BPM+位移
11577,enchanted love (and the witch's selfish heart),IN Lv.13,13.900003,-
11584,再会 (はるまきごはんVocal ver),IN,13.899999,32分
11585,国士無双,AT Lv.16,16.9,底力+多押+32分+变速+耐力+叠键+位移+定轨
11594,圣诞,IN Lv.13,13.799999,32分
1161,乙女解刨,IN Lv.13,13.399995,-
11611,Skyscape,IN Lv.13,13.5,-
11616,Connected Sky,IN Lv.13,13.0,多押+32分+位移
1162,Big Daddy,IN Lv.15,15.199999,多押+楼梯+纵连
11622,♿the EmpErroR♿,SP  Lv.♿,15.900003,底力+变速+高BPM
11630,夢浮橋 (ユメノウキハシ),IN lv.12,12.600002,-
11646,まっすぐ,IN  Lv.11,11.000001,-
11669,Soleil,IN Lv.14,14.0,楼梯+32分+耐力
11694,Valsqotch,AT Lv.16,16.300001,多押+32分+变速+耐力+位移
11716,End Time,IN Lv.15,15.900001,底力+多押+爆发+耐力+位移
11727,《Ж》(Convergence),IN Lv.15,15.400001,底力+高BPM+位移
11745,Latent Kingdom,IN  Lv.15,15.800003,底力+变速+位移
11749,No.7,IN Lv.15,15.300001,32分+位移
11756,Era Breath,IN  Lv.15,15.800003,底力+多押+楼梯+位移
11765,Silent Answer,IN Lv.14,14.299999,楼梯+32分
11766,0xff,IN Lv.try,14.999999,纵连
11789,Thinkin' About U,IN Lv.15,15.200001,-
11815,Like Naughty Young Pretty Princess....,IN Lv.14,14.700003,爆发
11832,轻涟 La vaguelette,IN Lv.12,12.700003,-
11848,てねてね,HD Lv.11,11.5,-
11855,雨女,IN Lv.14,14.500002,多押+楼梯+32分+耐力
11859,Glazed Color,IN Lv.13,13.7,-
11860,Illegal Deal,IN  Lv.15,15.900003,多押+32分+变速+耐力+高BPM+位移
11861,ロータスイーター,IN Lv.14,14.0,-
11862,Forever loved,IN Lv.14,14.900003,多押+32分+耐力+位移
11865,Fragments,IN Lv.14,14.8,楼梯+32分
11870,Polyommatus,AT Lv.14,14.5,纵连
11880,エゴロック (自我摇滚),IN Lv.14,14.0,高BPM
11888,一重加害,Persecution Lv.14,14.800003,32分
11905,You are the Miserable (Laur Remix),AT Lv.15,15.8,多押+楼梯+32分+耐力+位移
11918,Eltina,IN  Lv.12,12.700003,-
11944,僕が見た世界,IN Lv.13,13.0,-
11946,あさひ (朝阳),IN ：14,14.800003,耐力
11952,悪戯センセーション,IN Lv.15,15.200003,楼梯+32分
11957,The Daybreak Will Never Come Again.,AT Lv.16,16.400002,底力+多押+32分+爆发+变速+耐力+位移
11960,のだ,IN Lv.14,14.6,-
12003,Homestead,IN Lv.14,14.900002,32分
12015,クリスマスなんて興味ないけど,IN Lv.15,12.0,多押+32分+耐力
12032,STEP By STEP UP↑↑↑↑,IN Lv.14,14.1,楼梯+32分
12050,不需等天晴,UK,10.0,多押+楼梯+32分
12054,JACK PT BOSS,IN Lv.14,14.400001,32分
12058,少女A,IN Lv.14,14.599999,-
12060,It's me,IN Lv.14,14.600002,楼梯+32分
1207,Carnival,AT Lv.13,13.600002,-
12072,マシュマリー,IN Lv.14,14.1,多押+楼梯+32分+位移+定轨
12097,Nyan-Dead,FP Lv.14,14.700003,多押+32分+变速+耐力+位移
12118,★超度 -Go Beyond-,IN Lv.15,15.900002,多押+32分+变速+耐力+高BPM+纵连+位移
12121,ジャックポットサッドガール,IN Lv.14,14.0,-
12125,EVE,IN  Lv.14,14.400002,纵连
12126,Ghost Fight,IN  Lv.14,14.300001,-
12132,ouroboros -twin stroke of the end-,IN  Lv.16,16.2,底力+楼梯+爆发+耐力+纵连+位移
12148,幻影,IN lv.14,14.200001,-
12152,If Tomorrow Never Comes,AT Lv.15+,10.0,32分+耐力
12153,魔法少女チノ,IN Lv.13,13.900003,-
12160,★Inverted World,IN Lv. 15,15.5,爆发
12162,Granat,IN Lv.15,15.800002,-
12176,dB doll,EX Lv.14,14.8,-
1218,TruE,Elysia Lv.Story,10.0,多押+32分
12182,Tera I/O,AT Lv.16,16.1,底力+多押+32分+变速+耐力+位移
12187,Travel Begins,IN Lv.15,15.0,耐力
1219,Da Capo,Kiana Lv.K423,423.0,-
12209,モア！ジャンプ！モア！,AT Lv.15,15.600002,32分+耐力
