id,name,level,diff,tags
1637,Altros,FM Lv.14,14.0,位移
1638,下水鳴動して鼠一匹,FM Lv.14,14.0,多押+32分
1639,PANDORA PARADOXXX,AT Lv.16,16.295834,底力+位移
16571,WHITEOUT,IN Lv.15,15.400002,楼梯+爆发
16573,GIMMICK,IN Lv.14,14.1,-
16578,Secret of my heart,IN Lv.14,14.300001,-
16593,DEUX EX MĀXHINĀ,AT Lv.18,18.000008,底力+多押+32分+变速+耐力+高BPM+叠键+位移
16596,Gypsophila,IN Lv.15,15.200001,-
16620,Birds of Plague,IN  Lv.15,15.300001,底力
16624,Fiction Blue,SP Lv. ?,13.500002,-
16659,anybody can find love(except you.),IN Lv.15,15.0,底力+楼梯+爆发+读谱
16661,雲雀,IN Lv.14,14.6,32分
16662,The Stars Are Tumbling Out Of The Sky,IN Lv.15,15.500002,-
16673,Skyscape,IN Lv.13,13.500002,-
16685,Firmament Star,IN  Lv.15,15.400002,底力+爆发+位移
16687,felys -final remix-,IN  Lv.14,14.200002,爆发
16688,Butterfly Twist,IN  Lv.14,14.400002,-
1669,Dream of Memories,FM Lv.13,13.0,32分+定轨
16692,Angel's Salad,IN  Lv.15,15.900003,变速+耐力+位移+定轨
167,Wildfire,IN Lv.15,15.633334,多押+32分+变速+耐力+叠键+位移+定轨
1672,PhonDrome!,FM Lv.15,15.0,楼梯+纵连
1673,The Last Page,FM Lv.14,14.0,-
16737,Into The Sky,IN Lv.14,14.499999,楼梯
16764,壱雫空,IN Lv.14,14.200001,32分
16765,VEZZELiX,IN Lv.15,15.800003,多押+32分+变速+位移
1694,Oceanus,IN Lv.16,16.2,爆发
16948,Paradise Ⅱ,IN  Lv.14,14.400001,-
1700,Daydream,IN Lv.14,14.0,多押+32分
1701,Turn Back Time,IN Lv.13,13.0,-
17049,The Next Arcady,IN Lv.15,15.100004,-
1724,くうになる (放空),[    ].14,14.0,多押+32分+耐力
1728,"Good bye, Merry-Go-Round.",IN Lv.15,15.044445,楼梯
17312,CH4NGE -【Giga (Self Cover)】,AT Lv.15,15.500002,32分
17314,Fortuna for tuna,IN,14.89999,楼梯
17598,I Got Silence,IN Lv.15,15.700003,多押+32分+耐力+位移
17730,GGF,IN  Lv.?,14.499999,-
17799,HELP!!,IN Lv.13,13.500002,-
1782,てんてん (New Vocal Version),IN Lv.15,15.500002,变速+高BPM
17841,G4L,IN Lv.15,15.000004,-
17856,The Formula,SP  Lv.？,15.700001,-
17987,ヨイハナビ,IN Lv.13,13.500002,多押+32分+变速
18097,ウサテイ20XX,IN  Lv.14,14.5999975,多押+楼梯+32分
1816,Bloody Marquis,IN Lv.15,15.566667,底力+多押+32分+变速+耐力+高BPM+位移+定轨
18202,After Rain,IN Lv.13,13.500002,纵连
18203,Replay,IN Lv.13,13.500002,-
18287,だから僕は音楽を辞めた,IN Lv.15,15.400002,-
1855,One Way Street,IN Lv.14,14.0,纵连
1856,回レ！雪月花,IN Lv.13,13.0,爆发
18633,守りたいもの,IN  Lv.13,13.1,楼梯
18714,Valsqotch,IN Lv.16,16.199999,楼梯+变速+耐力+高BPM
1882,Deity Silence,IN  Lv.16,16.1,32分+位移
1896,"Don't say ""lazy""",IN Lv.13,13.0,多押+32分+位移
19181,Picasso,AT Lv.?,16.700005,底力+楼梯+32分+变速+叠键+位移
19365,雑踏、僕らの街 (TV Size),IN  Lv.14,14.800003,爆发
19436,astral.exe,IN Lv.14,14.500002,-
19485,BBBang (feat. 星尘),IN  Lv.15,15.400002,读谱
19680,What You Want,FM Lv.15,15.900003,楼梯+读谱
19912,ふわり,IN.cloud,14.1,-
20017,Caramelldansen,FM Lv.14,14.200001,32分
2012,Sakura Fubuki,IN Lv.14,14.655556,楼梯
20180,メズマライザー,IN Lv.15,15.1,-
20283,フリーフォール,IN Lv.14,14.500012,楼梯+定轨
20326,Forever Young,AT  Lv.15,15.600002,32分+变速
20532,You & I (VIP Mix),IN,14.6,-
20534,Starry World,IN Lv.15,15.1,爆发
20577,Grown-up's Paradise (PV Ver.),IN  Lv.12,12.800003,楼梯
20601,Triad of Dryad,IN,14.400002,楼梯
2063,Dement ～After legend～,IN Lv.15,15.0,位移
20996,Suomi,IN Lv.14,14.200001,-
2101,大喜宙,IN Lv.14,14.0,32分
21041,cyanine,IN  Lv.15,15.500002,高BPM
21135,ARIGA THESIS,IN  Lv.14,14.600002,-
21201,ナイト・オブ・ナイツ,IN Lv.15,15.7,多押+变速+耐力+位移
2126,怪物,IN,14.2,多押+楼梯+32分
213,Options,IN Lv.13,13.0,-
2132,Break your desire,IN  Lv.15,15.0,多押+32分+位移
21331,BEWM,SP,15.9,楼梯+纵连
2175,Dragonlady,IN Lv.15,15.0,-
2195,《理想》～ Cloudland,IN Lv.12,12.0,-
2205,Sakura Reflection (regular),IN Lv.14,14.0,-
